ind_ID	Adrenal_Gland	Artery_Aorta	Artery_Tibial	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Substantia_nigra	Colon_Sigmoid	Esophagus_Mucosa	Minor_Salivary_Gland	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Testis	Thyroid	Vagina
GTEX-111CU	-0.0519718218696958						0.00559115454917378	-0.175698727277736		-0.129299191607562		0.655411484101882	0.0999779541887409		0.58998615223088	0.220041618416683	
GTEX-111FC			0.727081443546402						-0.0074139259919474			-0.395640260628939	1.55909252323824	0.367799437640505	-0.331153474148862	-0.897246146602258	
GTEX-111VG													-0.00433812737736238	0.0657086883358498	-0.13147831461234	0.401820019637808	
GTEX-111YS	-0.368691214480147	-0.69758263012448	-0.341652335262709				0.759179544116527	-0.165671028262234		-0.454961457585193		-0.15195473186835	-0.148915896713913		-1.08197239754675	-0.0870575725407022	
GTEX-1122O	0.530487984904628	-0.387150626586731					-0.213198638328235	0.162059580541925		0.206047164056667				0.188220044090241		0.298570110385289	
GTEX-1128S		-0.252017120775242	-0.241209018741169							1.78402046098459	0.494700058231698			0.0229569492952788		-1.06407972236958	
GTEX-113JC											-0.535214674778488			-0.0904414973963322		0.0623492514881315	-0.409211041889635
GTEX-117XS		0.456306012064845					0.256551718991518				0.157446067649773			-0.193166050334775	-1.28642070138094	-0.648267349848193	
GTEX-117YW		0.143657386608156	-0.198843929033434					-0.225553777575152			-0.377843558927512	-0.282178169602487		-0.0265042084696336	-1.3769151787665	-0.86421933621829	
GTEX-1192W											0.0193422107898627			-0.479330831823364		-0.924424123130604	
GTEX-1192X									-0.403495694523398		-0.477354106680044		0.345875210571406	0.311977430242582		0.308340023015451	
GTEX-11DXX	0.304124931044	0.0815616523652496	0.951705858892396				-0.0804680436927654	0.0055707746465275		-0.0903087727984308			-0.134040187926279	-0.20678771246988		-0.207851155319179	-0.517860734541154
GTEX-11DXY	-0.583436448770245						0.287484512068914	-0.217726797174924			0.041669210741229		-0.332217756107577	-0.262700521893501	-0.273028205295293	0.221429212290196	
GTEX-11DZ1								-0.3842343049959					-0.0301583605783387	0.557242552903107		0.513126682573639	
GTEX-11EI6			-0.405152356127861				0.180072690086173	-0.222010477657065			0.0319901692239167		-0.653552641268494	-0.622901285799564	-0.268268950426239	-0.274612154127239	
GTEX-11EM3	0.282350914473859	-0.735559653455081	0.090885672865575				0.384785169360047	0.144224218626578					1.02274215193891	-0.101337248278701		0.0303185772120855	-0.737917078860576
GTEX-11EMC	-0.568247733854548	-1.14218817446111	-0.221640706141635				-0.0116467576815772	-0.593651216874243	-0.30237828042866		-0.499122716797973			-0.70980851704334		-0.763841252486985	-0.114187798712996
GTEX-11EQ8			1.27674186807904										1.2522213143239		0.802965589737043	0.444558756947674	
GTEX-11EQ9	-1.05516064151944		-1.33701711570536				-0.0342410449185574	-0.23735989379572	-0.252613625768496	0.647703172280928		0.816215522865528	-0.396354134663626	-0.337096231080898	-0.772477409717808	-0.0133428411740993	
GTEX-11GS4		-1.03066497950037	-0.371406855035692				0.193398301407127				0.322281695158478		-0.433007227327202	-0.338196241290385	0.61263706088566	-0.763541636676175	
GTEX-11GSO						-0.241147763258743					0.256762255215204			-0.322500798326792		-0.118193202026528	
GTEX-11GSP	-0.877333035799745	-0.431263800578518	-0.683948582830953	0.104306431520412	-0.491650025571947			-0.464503236040568		-0.42489401303453	-0.642430464805896		-0.994718039173967	-0.033802712478982			-0.394852122702798
GTEX-11I78	-0.133899668967755	0.372242289293975	-0.109762997685044				0.159326220847081	-0.152971412910757		0.168107874271238						0.0980899459591562	-0.056836472241748
GTEX-11LCK		-0.335503425705624	0.0401014217638324					0.420169750490907		-0.0279728056460323			0.327966966523433	-0.0351270454332026	0.390468933686275	-0.31202213344786	
GTEX-11NUK		-0.119390411259231	-0.47110826977047					0.195791553162354			0.637443113811155		0.172921011767213	0.154651828460983	0.963172962780596	-0.0641986720533372	
GTEX-11P81		-0.466712083067336	-0.662866796813731				-0.0376406575142488	0.80221868594826	0.14359423391298				-0.235426638275472	-0.28147845761186		0.0545917161706121	0.499333645362946
GTEX-11P82		0.062806501873267						-0.262619710936068	-0.608083504685811			-0.311523514391395	-0.549270285759654	-0.593261675246866	-0.7258677981549	-0.836422552306791	
GTEX-11TTK														-0.0847526033156763		0.476514789843187	-0.531485963583538
GTEX-11TUW		-0.148306105314485	-0.211859974225009				-0.721814733182642	-0.209260856197738	0.461199982747728		0.87881364379426	0.162256420340526	1.39210592013076	0.44698042779117	0.974564904771364	0.762239889502078	
GTEX-11UD2		0.231614788859391	0.426399670493637										0.22674543158512	-0.523792910817285		-0.354880923692669	
