context	het_cv_r2s	het_cv_r2s.herit	hom_cv_r2s	full_cv_r2s
Adrenal_Gland	0.0655165183669394	0.0421253635510868	0.00662303619357973	0.240282471829312
Artery_Aorta	-0.00426001626919126	-0.00444375205721048	0.00477056863306324	0.0927365130526854
Artery_Tibial	-0.00318960074918251	-0.00302528306376715	0.0243241750549027	0.152625454044486
AverageContext		0.00265864830416196		
Brain_Hypothalamus	0.00930571244868539	0.00707988835416951	-0.00992889351169168	0.167686806510695
Brain_Nucleus_accumbens_basal_ganglia	0.00751464068673746	0.0136880488595403	-0.00839805713069808	0.0383900319530062
Brain_Substantia_nigra	0.0316719017465313	0.0506025408112438	-0.0130724093932533	0.234202139802672
Colon_Sigmoid	0.0475507379102154	0.0289869136113505	-0.00181676687173216	0.208373121492577
Esophagus_Mucosa	0.00778563961616452	0.0117706169108645	0.0127286560007581	0.246585836371546
Minor_Salivary_Gland	-0.0104334086776665	0.00290283892070153	0.0111415083014818	0.0257812166491833
Pancreas	0.0167519372346512	0.0394098485625691	0.0125782156683117	0.196801730695737
Pituitary	0.0443689422799295	0.0303200870816395	-0.00710741140344684	0.36473743465193
Prostate	0.0156449215512064	-0.00443840677333451	-0.00704037439513483	0.159053338000086
Skin_Not_Sun_Exposed_Suprapubic	-0.00297611080886884	-0.000790225267078837	0.00893346279625518	0.243444697874107
Skin_Sun_Exposed_Lower_leg	-0.00219699061824929	-0.0020153230663027	0.013193147756166	0.0226332034234269
Testis	0.00394976862424445	-0.00398819273997875	0.0284346587827393	0.180579023140495
Thyroid	0.0719581778552557	0.0682439759647597	-0.00263150142794433	0.212882754499638
Vagina	0.0171196800310124	0.0110295406073399	-0.00873989579622037	0.083756165860758
