id	Adrenal_Gland	Artery_Aorta	Artery_Tibial	AverageContext	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Substantia_nigra	Colon_Sigmoid	Esophagus_Mucosa	Minor_Salivary_Gland	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Testis	Thyroid	Vagina
GTEX-111FC													-0.0172212743396664	0.0565629798924399		0.0965707870264593	-0.338181624756339	
GTEX-111VG														0.205669224347893	0.215101793609842	0.209213401776012	-0.157933108431059	
GTEX-111YS	-0.493192855878657		-0.315311341750071					-0.196586154643697	-0.398600629699973		-0.253903236065277		-0.60490797784706	-0.393384542306829		-0.298552144347762	0.0638470506792678	
GTEX-1122O	0.51589052458813	0.115339347532652						-0.883051548263854	0.326127082448162		0.255111927058872				0.280890119692567		0.21539799778678	
GTEX-1128S		0.00382379531307904	-0.0717704521676582								0.0768369104454109				-0.0185407361057563		-0.422116392502231	
GTEX-113JC												-0.577155583572419			-0.567421410249703		-0.177449304151488	
GTEX-117XS		-0.248974103750851						-0.0493064672574703				-0.245216207688155			-0.311272013401976	-0.261604362164358	-0.0107924186902664	
GTEX-117YW		-0.553719570033057	-0.582957432354599						-0.761311548508884			-0.618362421866656	-0.758335822314252		-0.800990197391545	-0.598058274140586	-0.612349899963066	
GTEX-1192W												-0.927222002660322			-1.20777493721463		-1.34972475090185	
GTEX-1192X										-0.133409460912397		0.0160669931086797		0.132408439075102	-0.0422653626662621		-0.300598490797648	
GTEX-11DXX	-0.328586441487754	-0.0688891806415601	-0.188695852253877					0.234500548759554	-0.0512244611829903		-0.0292582004375897			-0.00443826582871372	-0.0618224148245146		-0.00592476359909586	0.0477824976270179
GTEX-11DXY	-0.131064978125369							-0.611214260400293	-0.426683249945414			-0.210346396096669		-0.54385918757464	-0.252151782212122	-0.237669588254966	-0.683338747172113	
GTEX-11DZ1									0.532298331237904					0.37137187215194	0.509846070381176		0.594298463615001	
GTEX-11EI6			-0.633765035966711					-0.157689438324732	-0.634997374827203			-0.44094616498821		-0.685859575418228	-0.681445117709237	-0.526397922390567	-0.473142944304414	
GTEX-11EM3	-0.361516209461768	-0.00966970200500606	-0.0395674786575211					0.359240721424428	-0.0786914238951275					0.0531880989656881	-0.0249895673178337		-0.0441140190129055	0.158083751226528
GTEX-11EMC	-0.749256057915409	-0.829454319541953	-1.08952599204803					-0.879190323710074	-1.18022042124244	-1.34613034322142		-1.0325987773474			-1.20659044672675		-0.997704315939974	-0.845075295238346
GTEX-11EQ8			1.74361273815504											1.92168058170233		1.55024799580807	1.4626832634761	
GTEX-11EQ9	-0.422488264766893		-0.440546453689086					-0.284629110929521	-0.318795719672087	-0.578701082746985	-0.42644349008215		-0.436229572441193	-0.536252203533107	-0.598462022012881	-0.455340329005488	-0.576858075679442	
GTEX-11GS4		-0.414520875787132	-0.167262276968					-0.341922214537103				-0.323733123944953		-0.682044587171482	-0.503273366350306	-0.416552962366924	0.0383217188144978	
GTEX-11GSO												-0.0767982470473988			-0.139713785373597		0.181337937366669	
