context	het_cv_pvals	het_cv_pvals.herit	hom_cv_pvals	full_cv_pvals
Adrenal_Gland	2.16901379485394e-06	0.000482389499879463	1.3212843815231e-06	6.46859256565893e-08
Artery_Aorta	1.1355800314347e-08	0.0543249576998104	4.54302860701046e-09	7.51980399717014e-09
Artery_Tibial	1.11666696069155e-24	0.000107712685300788	1.06523034029999e-22	2.20441658635543e-24
AverageContext		0.00198652133390387		
Brain_Hypothalamus	6.78460441197191e-12	0.0239992770521421	2.89426708642012e-11	5.93293627935856e-11
Brain_Nucleus_accumbens_basal_ganglia	7.04667946273825e-11	0.968053657964765	5.94847891291277e-11	4.98716324777024e-10
Brain_Substantia_nigra	3.48501514085346e-05	0.294515708259638	6.23838367123229e-06	3.28912635477983e-05
Colon_Sigmoid	1.66586914093795e-17	9.19006972651214e-15	1.65777923191629e-11	1.41116223601176e-16
Esophagus_Mucosa	2.09940950406782e-27	0.00771060844158617	2.00607023348829e-26	2.16297353173918e-27
Minor_Salivary_Gland	1.11031422420552e-06	0.148160155349285	2.83279071298484e-06	2.15298381217747e-06
Pancreas	3.2520442855554e-09	0.00353747546572414	1.04777260435376e-08	3.01750363370286e-10
Pituitary	1.41392285664674e-10	0.431554924572383	8.91049888344432e-12	6.64383349912327e-11
Prostate	6.20967907383379e-07	0.0925134791573549	2.09075237671927e-06	9.90135592056819e-07
Skin_Not_Sun_Exposed_Suprapubic	5.07749862655447e-25	0.0118144211359278	1.46749704948477e-24	6.55938378972769e-25
Skin_Sun_Exposed_Lower_leg	9.40277920444005e-31	0.0913569720077587	2.42700968570307e-30	2.31713899840273e-30
Testis	1.25561337232654e-11	0.767546703757536	2.12317762255133e-11	1.0831069151429e-10
Thyroid	3.5640174826411e-25	1.57644620580075e-08	2.73307213813786e-21	3.19041116830392e-25
Vagina	2.78945506761516e-06	0.0112131667761639	7.61129054416439e-05	1.59463833497895e-05
