id	gene1
GTEX-111YS	0.0611842039759295
GTEX-1122O	0.0499116349613844
GTEX-117YW	0.175496318922955
GTEX-11DXX	-0.00499388637352097
GTEX-11DXY	-0.0779109479072739
GTEX-11DZ1	-0.548228447471527
GTEX-11EI6	0.0572938981049815
GTEX-11EM3	0.101947249306278
GTEX-11EMC	-0.100979901425936
GTEX-11EQ9	0.0327986737676935
GTEX-11GSP	0.0852463203423162
GTEX-11I78	-0.196008385231525
GTEX-11LCK	0.361659542711941
GTEX-11NUK	0.0121311635499461
GTEX-11P81	0.822706058380243
GTEX-11P82	0.215410606514959
GTEX-11TUW	-0.553526267121194
GTEX-11VI4	-0.265851310650714
GTEX-11XUK	0.249386278423255
GTEX-11ZTS	-0.170390903352449
GTEX-1211K	-0.371149029361254
GTEX-1212Z	0.0209855037498531
GTEX-12BJ1	-0.554007830689906
GTEX-12C56	0.627764065916613
GTEX-12KS4	0.112933664346042
GTEX-12WSA	-0.0273070739265104
GTEX-12WSG	0.669372084318667
GTEX-12WSK	-0.757208303483244
GTEX-12WSL	-0.178207508233032
GTEX-12ZZW	-0.0692605269543729
GTEX-12ZZY	0.575810398423575
GTEX-13111	0.0252686653839792
GTEX-131XG	0.612079490685618
GTEX-131YS	-0.669313066297938
GTEX-132Q8	0.193010624579868
GTEX-133LE	-0.47156942418514
GTEX-139UW	-0.342018138363552
GTEX-139YR	-0.299075178764745
GTEX-13CF3	-0.123796755044049
GTEX-13D11	0.292571724369574
GTEX-13FH7	0.151235473993251
GTEX-13FHO	-0.170393300815251
GTEX-13FLV	0.0594817626807316
GTEX-13FTW	-0.725665275162832
GTEX-13FTX	-0.189684353639259
GTEX-13G51	-0.517403967747581
GTEX-13NZB	0.151787614782078
GTEX-13O1R	0.61132787780353
GTEX-13O21	-0.560541769550197
GTEX-13O3Q	0.567022731363238
GTEX-13OVG	0.160476061134132
GTEX-13OVJ	0.0258902418875686
GTEX-13OVK	0.123629747695978
GTEX-13OW8	0.199420065121624
GTEX-13PL7	-0.706763495628016
GTEX-13PVQ	0.641758296778745
GTEX-13PVR	0.314661878270526
GTEX-13QBU	0.237213219147678
GTEX-13QJ3	-0.0615991973924522
GTEX-13RTK	0.120425178781266
GTEX-13S86	0.409674736812909
GTEX-13U4I	-0.254792071606046
GTEX-13W3W	-0.272313759664236
GTEX-13W46	-0.149589681539354
GTEX-13X6H	0.372854879914064
GTEX-13X6I	0.442174691215763
GTEX-13X6K	0.0930744718725664
GTEX-145MF	-0.568521856317099
GTEX-145MO	-0.191665360295722
GTEX-146FH	1.09985366545578
GTEX-146FQ	-0.173259849719286
GTEX-146FR	-0.0263986757556086
GTEX-148VI	-0.125601130797742
GTEX-148VJ	-0.399198437427048
GTEX-14A6H	0.284682508501961
GTEX-14B4R	-0.0787732605265203
GTEX-14BIM	0.322953412907441
GTEX-14BIN	-0.0408254499775903
GTEX-14BMU	0.0845598975938454
GTEX-14C38	-0.144651505486001
GTEX-14C5O	-0.785033804103513
GTEX-14DAQ	0.149071904760918
GTEX-14DAR	-0.22470237535494
GTEX-14E6E	-0.0366972180062498
GTEX-14H4A	0.616268433218105
GTEX-14ICK	-0.45585034937104
GTEX-14ICL	0.462615455654949
GTEX-14JG6	0.835320856572358
GTEX-14JIY	0.124707460249937
GTEX-14PJ4	-0.150395494393944
GTEX-14PJ5	0.312181540473039
GTEX-14PJ6	-0.119823390510777
GTEX-14PJM	0.0214251812307895
GTEX-14PJN	-0.0925826851291665
GTEX-14PK6	-0.591208087538809
GTEX-14PKV	0.227091303856565
GTEX-15DCD	0.0367879456327495
GTEX-15DYW	-0.661974183525102
GTEX-15EOM	-0.190384661653866
GTEX-15ER7	0.0601582560243392
GTEX-15ETS	0.81035434027818
GTEX-15EU6	0.450098908170875
GTEX-15RIE	0.0248884916811452
GTEX-15RIF	0.201029379779969
GTEX-15RJE	-0.744985514567661
GTEX-15SB6	0.171088975768136
GTEX-15SHU	0.583845103796544
GTEX-15UF6	-0.157410652074789
GTEX-15UF7	0.153957568952168
GTEX-16BQI	0.344750296302926
GTEX-16MT8	0.068374533096416
GTEX-16MTA	-0.0731718247362185
GTEX-16NPX	0.574934440122777
GTEX-16Z82	0.200639092103022
GTEX-178AV	0.128657281735606
GTEX-17EVQ	-0.818456059941871
GTEX-17F96	0.0653450169834643
GTEX-17F98	-0.143558544582745
GTEX-17HGU	-0.395910416149218
GTEX-17JCI	0.127790051085923
GTEX-17KNJ	-0.27100628994426
GTEX-17MFQ	-0.236070465312446
GTEX-183FY	-0.359727024865112
GTEX-183WM	0.0270066917717078
GTEX-18A7A	-0.161534584585886
GTEX-1A32A	0.0559543702243876
GTEX-1A3MV	-0.302781403183686
GTEX-1AMEY	0.335718808117462
GTEX-1AMFI	-0.761538102111356
GTEX-1AX9I	0.616047483674801
GTEX-1AX9J	0.21519252139851
GTEX-1AX9K	0.142936737202089
GTEX-1B8KE	0.170582048206468
GTEX-1B8KZ	-0.436489059029496
GTEX-1B933	-0.597159560095955
GTEX-1B97I	0.193210934247175
GTEX-1C2JI	0.748189115692786
GTEX-1C475	-0.788990590078644
GTEX-1E1VI	0.0486309490127808
GTEX-1EH9U	-0.467691528580911
GTEX-1EU9M	0.112110328863096
GTEX-1EWIQ	0.0219628476121503
GTEX-N7MT	0.179082745901505
GTEX-NPJ8	0.0124961804547088
GTEX-O5YV	-0.477871426684714
GTEX-OIZG	-0.187917750789893
GTEX-OIZH	-0.329029767582533
GTEX-OIZI	0.2618557278624
GTEX-OOBK	-0.259856616316847
