id	gene2
GTEX-111FC	0.391818741314195
GTEX-111VG	0.0896632807178584
GTEX-111YS	-0.591768882079172
GTEX-1122O	0.38085655656204
GTEX-1128S	0.194665265960341
GTEX-113JC	-0.330357563272103
GTEX-117XS	-0.540336002447861
GTEX-117YW	-0.615684766023364
GTEX-1192W	-0.0919220854307499
GTEX-1192X	0.0469553874992322
GTEX-11DXX	0.325167506366296
GTEX-11DXY	-0.212367527353704
GTEX-11DZ1	-0.380538019614691
GTEX-11EI6	-0.223135654097355
GTEX-11EM3	0.641713772027544
GTEX-11EMC	-0.00797148248291416
GTEX-11EQ8	1.61307708552767
GTEX-11EQ9	-0.444252461591295
GTEX-11GS4	0.159722164573064
GTEX-11GSO	0.456649683845079
GTEX-11GSP	-0.655935579639057
GTEX-11I78	-0.135282538050377
GTEX-11LCK	0.284301559435534
GTEX-11NUK	0.329109656218521
GTEX-11P81	0.0364618682968811
GTEX-11P82	-0.0578033355711292
GTEX-11TTK	0.831631376948388
GTEX-11TUW	0.521546981007459
GTEX-11UD2	0.311853437993458
GTEX-11VI4	0.18755407933121
GTEX-11WQK	-0.0805670427595008
GTEX-11XUK	-0.0302017043796991
GTEX-11ZTS	0.476523924882536
GTEX-11ZTT	0.254936519410641
GTEX-11ZUS	-0.145038879292453
GTEX-11ZVC	-0.361138092736932
GTEX-1211K	0.309241741949732
GTEX-1212Z	0.794495016605965
GTEX-12584	-0.575545794887351
GTEX-12BJ1	-0.251071207856753
GTEX-12C56	0.318659357920384
GTEX-12KS4	0.110605375321801
GTEX-12WSA	-0.146124997299788
GTEX-12WSE	-0.304489706104702
GTEX-12WSF	0.320361297539182
GTEX-12WSG	-0.0127111721946348
GTEX-12WSH	0.303435480021948
GTEX-12WSJ	-0.177414000192525
GTEX-12WSK	0.00690842021057658
GTEX-12WSL	0.512630674948771
GTEX-12WSM	-0.130400602122174
GTEX-12WSN	0.0232155019082404
GTEX-12ZZW	-0.702398061081257
GTEX-12ZZY	0.226320120359459
GTEX-12ZZZ	-0.185266881445477
GTEX-13111	0.574204449412374
GTEX-13112	-0.298222557051513
GTEX-1313W	-0.351588520200159
GTEX-1314G	-0.836033225173271
GTEX-131XG	0.157868695040404
GTEX-131XW	0.506036794540394
GTEX-131YS	0.0266447107908286
GTEX-132NY	0.783628589828251
GTEX-132Q8	0.112458160859193
GTEX-133LE	-0.567422249189141
GTEX-139D8	0.339866066341293
GTEX-139TT	-0.328711192079088
GTEX-139UW	-0.140384688571439
GTEX-139YR	0.0321991202196184
GTEX-13CF2	-0.564352949741598
GTEX-13CF3	0.314831615402834
GTEX-13D11	-0.433998068396421
GTEX-13FH7	0.0704591045460473
GTEX-13FHO	0.268614979943579
GTEX-13FLV	-0.233005784174057
GTEX-13FTW	-0.233238441770646
GTEX-13FTX	-0.33783401246055
GTEX-13FTY	0.472366569670375
GTEX-13G51	-0.0154527350019798
GTEX-13IVO	-0.104177068513873
GTEX-13JVG	-0.0106355911866795
GTEX-13N2G	-0.440644390297
GTEX-13NYC	-0.0346132924838153
GTEX-13NYS	-0.155662896909512
GTEX-13NZ8	-0.0931727994815359
GTEX-13NZA	-0.277899900597433
GTEX-13NZB	0.826604504484837
GTEX-13O1R	0.637399936895087
GTEX-13O21	-0.364524483244809
GTEX-13O3O	0.245285189462385
GTEX-13O3P	-0.167372926232017
GTEX-13O3Q	0.32685332327836
