id	gene1
GTEX-11WQK	-0.388916153581268
GTEX-11ZTS	-0.223175641629189
GTEX-11ZUS	-0.214793311967157
GTEX-12WSA	0.0203979683299056
GTEX-12WSM	0.346143688155374
GTEX-13112	0.2285434487457
GTEX-1313W	-0.0492368561971009
GTEX-131XW	-0.037183454039082
GTEX-132Q8	-0.208397900497116
GTEX-13CF2	-0.971225946719564
GTEX-13FLV	-0.139298503380797
GTEX-13G51	0.362020682611705
GTEX-13IVO	0.62874697950329
GTEX-13JVG	0.944261032105636
GTEX-13NYS	0.402204052340983
GTEX-13NZ8	0.767814931735326
GTEX-13NZA	-0.129140837165899
GTEX-13O3O	-0.530386895536856
GTEX-13O3Q	-0.103110031600546
GTEX-13OVH	-0.301141682643814
GTEX-13OVJ	-0.483672692034215
GTEX-13OVL	0.0547276364619373
GTEX-13OW5	0.13187507920363
GTEX-13OW6	0.0355768200805138
GTEX-13OW7	-0.913267223509021
GTEX-13OW8	0.235867933712374
GTEX-13QIC	0.102305278427328
GTEX-13QJC	-0.324677452478018
GTEX-13RTJ	0.233893615240239
GTEX-13SLW	0.103992266592799
GTEX-13X6I	0.104144240042249
GTEX-13X6J	0.333083035347745
GTEX-13X6K	-0.0565743366292635
GTEX-145MH	-0.137156355800535
GTEX-1477Z	0.479146971997659
GTEX-147F4	-0.946425219053497
GTEX-14BIL	0.398502768125009
GTEX-14C5O	0.568643357168564
GTEX-14JIY	-0.136444238248896
GTEX-14LZ3	-0.295092096615494
GTEX-14PJM	-0.0456394260911845
GTEX-14PJO	0.242977937660866
GTEX-14PN4	0.508516210531567
GTEX-14PQA	0.271743141587017
GTEX-15CHQ	-0.761845521771798
GTEX-15DCD	0.241923339759658
GTEX-15ER7	0.212851625724388
GTEX-15G19	-0.465214282016149
GTEX-16GPK	0.398912768294351
GTEX-16NPV	-0.475257548888996
GTEX-16XZZ	-0.192381081784179
GTEX-16YQH	0.496745914875568
GTEX-16Z82	0.217484683569524
GTEX-17EVP	-0.714105448054958
GTEX-17EVQ	-0.343005572852181
GTEX-17F97	-0.376567316381109
GTEX-17HII	-0.424429252618042
GTEX-183WM	-0.43095594528306
GTEX-1B8SG	1.09131507689445
GTEX-1B996	0.476199460506858
GTEX-N7MS	-0.146696573864282
GTEX-N7MT	-0.977390603805534
GTEX-NL4W	0.0483216847737442
GTEX-NPJ7	0.0653612719677265
GTEX-NPJ8	-0.283179664310465
GTEX-P44H	1.40078071811254
GTEX-PWO3	-0.289056608047754
GTEX-Q2AG	0.476160055996031
GTEX-QDT8	-0.0542598600133595
GTEX-QMR6	-0.259785341847016
GTEX-QVJO	0.312665229795888
GTEX-QVUS	0.461582357548554
GTEX-R55E	-0.171905908643781
GTEX-S7SE	-0.544479386492264
GTEX-T5JC	-0.558875925786719
GTEX-T6MN	-0.31031912547452
GTEX-TSE9	-1.06854134693142
GTEX-WHSE	0.619525659068966
GTEX-WVLH	0.210137633185856
GTEX-WWYW	0.394577872948659
GTEX-WZTO	0.593391829099118
GTEX-X261	-0.442123620897202
GTEX-X4XX	-0.226502189731324
GTEX-X4XY	-0.762218079863007
GTEX-XMD1	-0.470230477320652
GTEX-YFC4	0.272866466395755
GTEX-YJ89	0.688323905294203
GTEX-Z93S	0.314200236999084
GTEX-ZAB4	0.187838552696999
GTEX-ZDXO	0.137763006898451
GTEX-ZF28	-0.390577243046961
GTEX-ZUA1	0.1379138339894
GTEX-ZVT3	0.434981342790547
GTEX-ZVZQ	0.188853740136125
GTEX-ZXG5	0.304008318582093
